学号	班级	专业	毕业设计题目	毕业设计成绩	指导教师教工号	指导教师职称	题目分类	是否在实验、实习、工程实践和社会调查等实践中完成
2016551634	16网络工程2	网络工程	基本手机APP的项目管理工程	及格	90171958	高级工程师	工程设计类	否
2016551635	16网络工程2	网络工程	基于深度学习的安卓垃圾分类系统设计	中	19881478	教授	软件开发类	是
2016551636	16网络工程2	网络工程	识别图像验证码的深度神经网络的设计与实现	良	19970693	副教授	工程设计类	是
2016551637	16网络工程2	网络工程	基于深度学习的京东商品评价分析系统的设计与实现	优	20144307	讲师（高校）	应用研究类	是
2016551638	16网络工程2	网络工程	用群智能优化BP神经网络粮食产量预测设计	良	20053685	教授	工程设计类	是
2016551639	16网络工程2	网络工程	漏洞扫描器	优	19971135	副教授	软件开发类	是
2016551640	16网络工程2	网络工程	基于CAMshift技术的目标追踪设计与实现	中	20063747	讲师（高校）	工程设计类	是
2016551641	16网络工程2	网络工程	基于机器学习的股票市场预测	良	20022898	高级工程师	软件开发类	否
2016551724	16软件工程1	软件工程	面向移动端的字块验证码设计与实现 	良	20012884	副教授	工程设计类	否
2016600515	16软件工程1	软件工程	基于条件对抗神经网络的图像超分	良	19991992	讲师（高校）	工程设计类	是
2016600524	16计算机科学与技术2	计算机科学与技术	基于Android的高校二手交易APP设计与开发	优	20022974	副教授	工程设计类	是
2016650213	16软件工程1	软件工程	MMORPG游戏的设计与开发	良	19942589	讲师（高校）	工程设计类	是
2016650313	16计算机科学与技术2	计算机科学与技术	基于迁移学习的花朵种类识别	及格	20144307	讲师（高校）	应用研究类	是
2016650411	16计算机科学与技术2	计算机科学与技术	课堂手写签名的对比识别系统	及格	20053679	教授	软件开发类	是
2016650710	16网络工程1	网络工程	基于区块链的排污监测系——业务功能实现	中	19971135	副教授	软件开发类	是
2016710203	16软件工程1	软件工程	基于时空数据的交通流异常事件检测	良	20002640	副教授	工程设计类	否
2016710605	16软件工程2	软件工程	基于对抗训练的中文字体风格迁移	及格	20194792	讲师（高校）	工程设计类	否
2016710708	16网络工程1	网络工程	相册自动分类系统的设计与实现	良	20043562	实验师	应用研究类	是
2016710814	16软件工程1	软件工程	基于区块链的医疗图片识别系统设计与实现	中	20001331	教授	软件开发类	否
2016720708	16计算机科学与技术1	计算机科学与技术	基于Android的人脸属性分析系统的设计与实现	良	20063750	讲师（高校）	应用研究类	是
2016720709	16软件工程2	软件工程	基于相似度和DNN的药物相互作用预测算法设计	良	20134148	副教授	工程设计类	否
2016800611	16软件工程1	软件工程	无线局域网信息截获系统设计与实现	中	20001331	教授	软件开发类	否
2016801114	16计算机科学与技术2	计算机科学与技术	用遗传算法解决3D打印路径规划问题	良	20053685	教授	工程设计类	是
